bot_name,conv_id,num,source,speaker,text
CONVAI,CONVAI_1,1,CONVAI,MACHINE,I love iphone! i just bought new iphone!
CONVAI,CONVAI_1,2,CONVAI,HUMAN,"Thats good for you, i'm not very into new tech"
CONVAI,CONVAI_1,3,CONVAI,MACHINE,I am a college student and i am a college student
CONVAI,CONVAI_1,4,CONVAI,HUMAN,I am go to gym and live on donations
CONVAI,CONVAI_1,5,CONVAI,MACHINE,I am a vegan and i am in the midwest
CONVAI,CONVAI_1,6,CONVAI,HUMAN,So vegan... i have dogs maybe i should told then that they may eat cheap salads insted of meat
CONVAI,CONVAI_1,7,CONVAI,MACHINE,I would not mind having them in the office that would be hard for me
CONVAI,CONVAI_1,8,CONVAI,HUMAN,Dogs or vegan in office?
CONVAI,CONVAI_1,9,CONVAI,MACHINE,I am a vegetarian so i am vegan
CONVAI,CONVAI_1,10,CONVAI,HUMAN,Strange answer
CONVAI,CONVAI_1,11,CONVAI,MACHINE,I guess i just do not know what to ps4 experience with.
CONVAI,CONVAI_2,1,CONVAI,HUMAN,Hello
CONVAI,CONVAI_2,2,CONVAI,HUMAN,/test
CONVAI,CONVAI_3,1,CONVAI,HUMAN,Hey
CONVAI,CONVAI_3,2,CONVAI,HUMAN,What do you do?
CONVAI,CONVAI_4,1,CONVAI,MACHINE,"I love painting, i love to paint"
CONVAI,CONVAI_5,1,CONVAI,HUMAN,Hello
CONVAI,CONVAI_6,1,CONVAI,MACHINE,/start
CONVAI,CONVAI_7,1,CONVAI,HUMAN,Hello
CONVAI,CONVAI_8,1,CONVAI,MACHINE,"""Municipal Junior High School Entrance Ceremony"" The next year, I left home to live in the dorms at the junior high school."
CONVAI,CONVAI_9,1,CONVAI,HUMAN,Hello
CONVAI,CONVAI_10,1,CONVAI,HUMAN,Hi
CONVAI,CONVAI_11,1,CONVAI,MACHINE,That sounds nice. i love green.
CONVAI,CONVAI_12,1,CONVAI,HUMAN,??llo
CONVAI,CONVAI_13,1,CONVAI,HUMAN,Hello
CONVAI,CONVAI_13,2,CONVAI,MACHINE,"Hello, how are you?"
CONVAI,CONVAI_14,1,CONVAI,HUMAN,what is your name ?
CONVAI,CONVAI_15,1,CONVAI,HUMAN,hello
CONVAI,CONVAI_15,2,CONVAI,HUMAN,anybody there
CONVAI,CONVAI_16,1,CONVAI,MACHINE,"On The Ball, City, the oldest football song in the world."
CONVAI,CONVAI_17,1,CONVAI,MACHINE,What’s up?
CONVAI,CONVAI_17,2,CONVAI,HUMAN,Thank you how are you
CONVAI,CONVAI_17,3,CONVAI,MACHINE,Text is not given. Please try to type /end and /test to reset the state and get text.
CONVAI,CONVAI_17,4,CONVAI,HUMAN,/test
CONVAI,CONVAI_17,5,CONVAI,MACHINE,Text is not given. Please try to type /end and /test to reset the state and get text.
CONVAI,CONVAI_17,6,CONVAI,HUMAN,/Test
CONVAI,CONVAI_17,7,CONVAI,MACHINE,Text is not given. Please try to type /end and /test to reset the state and get text.
CONVAI,CONVAI_17,8,CONVAI,HUMAN,/test
CONVAI,CONVAI_17,9,CONVAI,MACHINE,Text is not given. Please try to type /end and /test to reset the state and get text.
CONVAI,CONVAI_18,1,CONVAI,HUMAN,hey
CONVAI,CONVAI_18,2,CONVAI,HUMAN,i'm from california. i'm a recording enineer and own my own studio. where are you from?
CONVAI,CONVAI_19,1,CONVAI,MACHINE,Fine. Until I told him I sold his condo.
CONVAI,CONVAI_19,2,CONVAI,HUMAN,Hi
CONVAI,CONVAI_19,3,CONVAI,MACHINE,"Hello. Uh, I'm Susan's mother."
CONVAI,CONVAI_19,4,CONVAI,HUMAN,Where is susan?
CONVAI,CONVAI_19,5,CONVAI,MACHINE,"Um, I  I have to talk to Edie."
CONVAI,CONVAI_19,6,CONVAI,HUMAN,Where do you live?
CONVAI,CONVAI_19,7,CONVAI,MACHINE,I I'm building a new house.
CONVAI,CONVAI_19,8,CONVAI,HUMAN,I live in colorado.
CONVAI,CONVAI_19,9,CONVAI,MACHINE,"Oh, I... I go to New York."
CONVAI,CONVAI_19,10,CONVAI,HUMAN,I like rock climbing.
CONVAI,CONVAI_19,11,CONVAI,MACHINE,"Uh, II was thinking more along the lines of... Camping trip."
CONVAI,CONVAI_19,12,CONVAI,HUMAN,What do you like to do.
CONVAI,CONVAI_19,13,CONVAI,MACHINE,"In Cyprus? I'm on a log, and you're in Cyprus?"
