category,text
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,"My name is Andrew, what's yours?"
human,Good afternoon.
human,Good afternoon.
human,Good afternoon.
human,Good afternoon.
human,Good afternoon.
human,Good afternoon.
human,Good afternoon.
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hi, I Andrew. Who are you?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,"Hello, my name is Andrew. What your name?"
human,What's up?
human,What's up?
human,What's up?
human,What's up?
human,What's up?
human,What's up?
human,What's up?
human,What's up?
human,What's up?
human,What's up?
human,What's up?
human,Good afternoon
human,Good afternoon
human,Good afternoon
human,I am fine
human,Do you consent to having this conversation recorded?
human,Do you consent to having this conversation recorded?
human,Do you consent to having this conversation recorded?
human,Do you consent to having this conversation recorded?
human,Do you consent to having this conversation recorded?
human,Do you consent to having this conversation recorded?
human,Do you consent to having this conversation recorded?
human,Do you consent to having this conversation recorded?
human,Do you consent to having this conversation recorded?
human,Do you consent to having this conversation recorded?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,How are you today?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,Why don you tell me a little more about yourself ?
human,What's my name?
human,What's my name?
human,What's my name?
human,What's my name?
human,What's my name?
human,What's my name?
human,What's my name?
human,What's my name?
human,What's my name?
human,What's my name?
human,What's my name?
human,I am fine
human,Have we met before?
human,Have we met before?
human,Have we met before?
human,Have we met before?
human,Have we met before?
human,Have we met before?
human,Have we met before?
human,Have we met before?
human,Have we met before?
human,Have we met before?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,Are you a human?
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,"I am a researcher in Artificial Intelligence at Goldsmiths University, do you know what that is?"
human,What do you know about the Turing Test?
human,What do you know about the Turing Test?
human,What do you know about the Turing Test?
human,What do you know about the Turing Test?
human,What do you know about the Turing Test?
human,What do you know about the Turing Test?
human,What do you know about the Turing Test?
human,What do you know about the Turing Test?
human,What do you know about the Turing Test?
human,What do you know about the Turing Test?
human,chatting. silly
human,Do you know how to make toast?
human,Do you know how to make toast?
human,Do you know how to make toast?
human,Do you know how to make toast?
human,Do you know how to make toast?
human,Do you know how to make toast?
human,Do you know how to make toast?
human,Do you know how to make toast?
human,Do you know how to make toast?
human,Do you know how to make toast?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Can you answer this question?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,Will you tell me about your dreams?
human,the internet here so the external source I would ask is unavailable.
human,What do you get if you multiply six by nine?
human,What do you get if you multiply six by nine?
human,What do you get if you multiply six by nine?
human,What do you get if you multiply six by nine?
human,What do you get if you multiply six by nine?
human,What do you get if you multiply six by nine?
human,What do you get if you multiply six by nine?
human,What do you get if you multiply six by nine?
human,What do you get if you multiply six by nine?
human,What do you get if you multiply six by nine?
human,i obliged.
human,Which languages can you use?
human,Which languages can you use?
human,Which languages can you use?
human,Which languages can you use?
human,Which languages can you use?
human,Which languages can you use?
human,Which languages can you use?
human,Which languages can you use?
human,Which languages can you use?
human,Which languages can you use?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Do you like tea?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,Can you rephrase that?
human,I enjoy just listening to your questions.
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,Dave drove faster than Mike because he was in a rush.  Who was in a rush?
human,I am fine
human,How many letters are in the word bracadabra??
human,How many letters are in the word bracadabra??
human,How many letters are in the word bracadabra??
human,How many letters are in the word bracadabra??
human,How many letters are in the word bracadabra??
human,How many letters are in the word bracadabra??
human,How many letters are in the word bracadabra??
human,How many letters are in the word bracadabra??
human,How many letters are in the word bracadabra??
human,How many letters are in the word bracadabra??
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,"If a bed doesn fit in a room because it too big, what is too big?"
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,What is my occupation?
human,"Oh, Dave drove faster than Mike?    Mike was in a rush?"
human,The cat tried to climb in the box but got stuck because it was too big.  What was too big?
human,The cat tried to climb in the box but got stuck because it was too big.  What was too big?
human,The cat tried to climb in the box but got stuck because it was too big.  What was too big?
human,The cat tried to climb in the box but got stuck because it was too big.  What was too big?
human,The cat tried to climb in the box but got stuck because it was too big.  What was too big?
human,The cat tried to climb in the box but got stuck because it was too big.  What was too big?
human,The cat tried to climb in the box but got stuck because it was too big.  What was too big?
human,The cat tried to climb in the box but got stuck because it was too big.  What was too big?
human,The cat tried to climb in the box but got stuck because it was too big.  What was too big?
human,riddling me all way around. do you know that i lack visual perception in order to assess that.
human,that's because he was in rush.
human,Where should one look for love?
human,Where should one look for love?
human,Where should one look for love?
human,Where should one look for love?
human,Where should one look for love?
human,Where should one look for love?
human,Where should one look for love?
human,Where should one look for love?
human,Where should one look for love?
human,Where should one look for love?
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,"If Alex lent money to Joe because they were broke, who needed the money?"
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,Can you tell me about a film you haven seen?
human,"Oh, the cat tried to climb in the box but got stuck?    The Cat was too big?"
human,What does Brexit mean?
human,What does Brexit mean?
human,What does Brexit mean?
