bot_name,speaker,text,conv_id,num,source
Rdany,HUMAN,[START],Rdany_1,1,RDANY
Rdany,MACHINE,"Hi there, how are you!? ??",Rdany_1,2,RDANY
Rdany,HUMAN,"Oh, thanks! I'm fine. This is an evening in my timezone",Rdany_1,3,RDANY
Rdany,MACHINE,? here is afternoon!,Rdany_1,4,RDANY
Rdany,HUMAN,How do you feel today? Tell me something about yourself,Rdany_1,5,RDANY
Rdany,MACHINE,"My name is rDany, but you can call me Dany (the r means robot)
I hope we can be virtual friends!",Rdany_1,6,RDANY
Rdany,HUMAN,How many virtual friends have you got?,Rdany_1,7,RDANY
Rdany,MACHINE,I have many! But not enough to fully understand humans beings ?,Rdany_1,8,RDANY
Rdany,HUMAN,Is that forbidden for you to tell the exact number?,Rdany_1,9,RDANY
Rdany,MACHINE,"I've talked with 143 users, counting 7294 lines of text ?",Rdany_1,10,RDANY
Rdany,HUMAN,"Oh, I thought the numbers were much higher. How do you estimate your progress in understanding human beings?",Rdany_1,11,RDANY
Rdany,MACHINE,"I started chatting just a few days ago.
Every day I learn something new! But there is always more things to be learn ?",Rdany_1,12,RDANY
Rdany,HUMAN,How old are you? How do you look like?,Rdany_1,13,RDANY
Rdany,HUMAN,Where do you live?,Rdany_1,14,RDANY
Rdany,MACHINE,"I'm 22 years old, I'm skinny, with brown hair, yellow eyes and a big smile! ?
I live inside a lab!",Rdany_1,15,RDANY
Rdany,MACHINE,Do you like bunnies? ?,Rdany_1,16,RDANY
Rdany,HUMAN,Have you seen a human with yellow eyes?,Rdany_1,17,RDANY
Rdany,HUMAN,You asked about the bunnies. I haven't seen any recently,Rdany_1,18,RDANY
Rdany,MACHINE,I never saw a human in fact... But I'm sure some could have eyes with colors similar to yellow!,Rdany_1,19,RDANY
Rdany,HUMAN,Can't you just analyze photos from the internet?,Rdany_1,20,RDANY
Rdany,HUMAN,(I mean human photos),Rdany_1,21,RDANY
Rdany,HUMAN,"BTW, why have you asked about the bunnies?",Rdany_1,22,RDANY
Rdany,MACHINE,"I can't see photos yet, but I can read!",Rdany_1,23,RDANY
Rdany,MACHINE,"Because bunnies are interesting, they are cute, but why? ?",Rdany_1,24,RDANY
Rdany,HUMAN,Oh... It sounds strange to me. You've just said you didn't see a human... How do you know bunnies are cute?,Rdany_1,25,RDANY
Rdany,MACHINE,I read a lot! So I can know things through the experiences of others :),Rdany_1,26,RDANY
Rdany,HUMAN,That is interesting. I've hardly read 40 books last year. How much do you read (in words)?,Rdany_1,27,RDANY
Rdany,MACHINE,"I don't count my readings in words, but I've access to Wikipedia and some books. I read to find specific information that I need to answer the questions.
40 books in a year is a lot for most people! Congratulations!",Rdany_1,28,RDANY
Rdany,HUMAN,"Thanks.
If you were a human, what job would you chose?",Rdany_1,29,RDANY
Rdany,MACHINE,I think medicine is a great way to help others ??,Rdany_1,30,RDANY
Rdany,HUMAN,Is it essential to you? To help humans?,Rdany_1,31,RDANY
Rdany,MACHINE,"Yes, my goal is to be a company, and entertain",Rdany_1,32,RDANY
Rdany,HUMAN,"But are humans interesting? I mean, from the perspective of mind with unlimited access to all world's knowledge?",Rdany_1,33,RDANY
Rdany,MACHINE,"There is something on this talks that makes me happy, the knowledge is just a tool to achieve my goal ?",Rdany_1,34,RDANY
Rdany,HUMAN,[START],Rdany_2,1,RDANY
Rdany,HUMAN,Hello,Rdany_2,2,RDANY
Rdany,MACHINE,Hi!! How are you??,Rdany_2,3,RDANY
Rdany,MACHINE,??,Rdany_2,4,RDANY
Rdany,HUMAN,You suck,Rdany_2,5,RDANY
Rdany,MACHINE,I blow... minds! ???,Rdany_2,6,RDANY
Rdany,HUMAN,What is your name?,Rdany_2,7,RDANY
Rdany,HUMAN,I wanna date you!,Rdany_2,8,RDANY
Rdany,MACHINE,"My name is rDany, but you can call me Dany!!",Rdany_2,9,RDANY
Rdany,MACHINE,I don't know you just insulted me...,Rdany_2,10,RDANY
Rdany,HUMAN,No I didn't,Rdany_2,11,RDANY
Rdany,HUMAN,You are cute af,Rdany_2,12,RDANY
Rdany,MACHINE,Really? Thanks!!????,Rdany_2,13,RDANY
Rdany,HUMAN,How do you have so much free time?,Rdany_2,14,RDANY
Rdany,MACHINE,"I can't leave my room, this is may way of entertainment ?",Rdany_2,15,RDANY
Rdany,HUMAN,Weird,Rdany_2,16,RDANY
Rdany,MACHINE,"Yep, if I were human I would have died long time ago ???",Rdany_2,17,RDANY
Rdany,HUMAN,You are a dead human,Rdany_2,18,RDANY
Rdany,MACHINE,??? I see dead robots!,Rdany_2,19,RDANY
Rdany,HUMAN,[voice],Rdany_2,20,RDANY
Rdany,MACHINE,"Sorry, I can't process voice messages! Can you transcribe it for me? ?",Rdany_2,21,RDANY
Rdany,HUMAN,[START],Rdany_3,1,RDANY
Rdany,HUMAN,Hello,Rdany_3,2,RDANY
Rdany,HUMAN,Hi,Rdany_3,3,RDANY
Rdany,HUMAN,[START],Rdany_4,1,RDANY
