bot_name,speaker,text,conv_id,num,source
IRIS,MACHINE,Hello... USER_NAME,IRIS_1,1,WOCHAT
IRIS,HUMAN,Hi SYSTEM_NAME,IRIS_1,2,WOCHAT
IRIS,MACHINE,"Goddammit, USER_NAME! Get your shit together.",IRIS_1,3,WOCHAT
IRIS,HUMAN,"Hey, you are working!!!",IRIS_1,4,WOCHAT
IRIS,MACHINE,"Well, good, USER_NAME. I like working with you too.",IRIS_1,5,WOCHAT
IRIS,HUMAN,I am a geniuous,IRIS_1,6,WOCHAT
IRIS,MACHINE,My son pitched a no hitter!,IRIS_1,7,WOCHAT
IRIS,HUMAN,"ok, that is fine",IRIS_1,8,WOCHAT
IRIS,MACHINE,USER_NAME? Are you OK?,IRIS_1,9,WOCHAT
IRIS,HUMAN,"no, I kind if tired",IRIS_1,10,WOCHAT
IRIS,MACHINE,"You awake, Marshal? Marshal?",IRIS_1,11,WOCHAT
IRIS,HUMAN,what are you nuts,IRIS_1,12,WOCHAT
IRIS,MACHINE,"Okay, I'm nuts.",IRIS_1,13,WOCHAT
IRIS,HUMAN,"ok, bye bye",IRIS_1,14,WOCHAT
IRIS,MACHINE,"Ok, USER_NAME... bye bye.",IRIS_1,15,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_2,1,WOCHAT
IRIS,HUMAN,hello SYSTEM_NAME,IRIS_2,2,WOCHAT
IRIS,MACHINE,"Hello, Mr. Powers. Fab party.",IRIS_2,3,WOCHAT
IRIS,HUMAN,I am not Mr Powers!!!,IRIS_2,4,WOCHAT
IRIS,MACHINE,Judo chop! Judo chop!,IRIS_2,5,WOCHAT
IRIS,HUMAN,are you nuts?,IRIS_2,6,WOCHAT
IRIS,MACHINE,Let me just tell you about single premium life--,IRIS_2,7,WOCHAT
IRIS,HUMAN,do you cook?,IRIS_2,8,WOCHAT
IRIS,MACHINE,But a fabulous cook.,IRIS_2,9,WOCHAT
IRIS,HUMAN,what do you cook?,IRIS_2,10,WOCHAT
IRIS,MACHINE,Nothing so glamorous...,IRIS_2,11,WOCHAT
IRIS,HUMAN,ok I see,IRIS_2,12,WOCHAT
IRIS,MACHINE,Where are you going?,IRIS_2,13,WOCHAT
IRIS,HUMAN,to the moon,IRIS_2,14,WOCHAT
IRIS,MACHINE,"That's good, USER_NAME. Reassure me.",IRIS_2,15,WOCHAT
IRIS,HUMAN,"sure, i will send you a postcard",IRIS_2,16,WOCHAT
IRIS,MACHINE,Send her out.,IRIS_2,17,WOCHAT
IRIS,HUMAN,be quiet,IRIS_2,18,WOCHAT
IRIS,MACHINE,When I told him I couldn't see him any more.,IRIS_2,19,WOCHAT
IRIS,HUMAN,bye bye SYSTEM_NAME,IRIS_2,20,WOCHAT
IRIS,MACHINE,"Ok, USER_NAME... hasta la vista!",IRIS_2,21,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_3,1,WOCHAT
IRIS,HUMAN,good morning you,IRIS_3,2,WOCHAT
IRIS,MACHINE,Is it a good morning?,IRIS_3,3,WOCHAT
IRIS,HUMAN,of course it is,IRIS_3,4,WOCHAT
IRIS,MACHINE,This is the worst it's been.,IRIS_3,5,WOCHAT
IRIS,HUMAN,why,IRIS_3,6,WOCHAT
IRIS,MACHINE,Because I love her. She's the best thing that's ever happened to me.,IRIS_3,7,WOCHAT
IRIS,HUMAN,how are you?,IRIS_3,8,WOCHAT
IRIS,MACHINE,"I ' m great. Wow, you look terrific.",IRIS_3,9,WOCHAT
IRIS,HUMAN,stupid chatbot,IRIS_3,10,WOCHAT
IRIS,MACHINE,You afraid to tell me?,IRIS_3,11,WOCHAT
IRIS,HUMAN,"no, of course not",IRIS_3,12,WOCHAT
IRIS,MACHINE,"Well then, why am I seeing all these strange things?",IRIS_3,13,WOCHAT
IRIS,HUMAN,because you are an idiot,IRIS_3,14,WOCHAT
IRIS,MACHINE,USER_NAME turns to USER_NAME--,IRIS_3,15,WOCHAT
IRIS,HUMAN,what!,IRIS_3,16,WOCHAT
IRIS,MACHINE,You survived and now you shall continue the curse.,IRIS_3,17,WOCHAT
IRIS,HUMAN,"ok, see you later aligator",IRIS_3,18,WOCHAT
IRIS,MACHINE,"Ok, USER_NAME... bye!",IRIS_3,19,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_4,1,WOCHAT
IRIS,HUMAN,ha ha ha,IRIS_4,2,WOCHAT
IRIS,MACHINE,You did it! Next stop. Andy.,IRIS_4,3,WOCHAT
IRIS,HUMAN,what are you talking about?,IRIS_4,4,WOCHAT
IRIS,MACHINE,O'Neill just tole me. It's sooo great... I don't believe it.,IRIS_4,5,WOCHAT
IRIS,HUMAN,be quiet,IRIS_4,6,WOCHAT
IRIS,MACHINE,"""Will you love him, comfort him, honor and keep him in sickness or in health.",IRIS_4,7,WOCHAT
IRIS,HUMAN,hey dude,IRIS_4,8,WOCHAT
IRIS,MACHINE,Wanna buy some smoke?,IRIS_4,9,WOCHAT
IRIS,HUMAN,are you a drug dealer,IRIS_4,10,WOCHAT
IRIS,MACHINE,Jesus...,IRIS_4,11,WOCHAT
IRIS,HUMAN,what?,IRIS_4,12,WOCHAT
IRIS,MACHINE,Peel out. I love it when guys peel out.,IRIS_4,13,WOCHAT
IRIS,HUMAN,what is it?,IRIS_4,14,WOCHAT
IRIS,MACHINE,Actually... I do not have any idea!!!,IRIS_4,15,WOCHAT
IRIS,HUMAN,"ok, bye bye",IRIS_4,16,WOCHAT
IRIS,MACHINE,"Ok, Mr USER_NAME... see you soon!",IRIS_4,17,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_5,1,WOCHAT
IRIS,HUMAN,"Hello SYSTEM_NAME, how are you?",IRIS_5,2,WOCHAT
IRIS,MACHINE,It's Harry.,IRIS_5,3,WOCHAT
IRIS,HUMAN,"Sorry, Harry, how are you?",IRIS_5,4,WOCHAT
IRIS,MACHINE,Don't even bother with him. We'll just tell Berenson later...,IRIS_5,5,WOCHAT
IRIS,HUMAN,who are you?,IRIS_5,6,WOCHAT
IRIS,MACHINE,Who are you?,IRIS_5,7,WOCHAT
IRIS,HUMAN,what is your name?,IRIS_5,8,WOCHAT
IRIS,MACHINE,Actually... I do not have any idea!!!,IRIS_5,9,WOCHAT
IRIS,HUMAN,LOL,IRIS_5,10,WOCHAT
IRIS,MACHINE,I do not know what that is. Please explain!,IRIS_5,11,WOCHAT
IRIS,HUMAN,this is Laugh Out Loud... do you get it?,IRIS_5,12,WOCHAT
IRIS,MACHINE,"Ok, thank you for explaining it!",IRIS_5,13,WOCHAT
IRIS,HUMAN,LOL,IRIS_5,14,WOCHAT
IRIS,MACHINE,Maybe I need new glasses.,IRIS_5,15,WOCHAT
IRIS,HUMAN,what a LOL,IRIS_5,16,WOCHAT
IRIS,MACHINE,They LAUGH.,IRIS_5,17,WOCHAT
IRIS,HUMAN,"yes, you got it, you are smart",IRIS_5,18,WOCHAT
IRIS,MACHINE,But then I figured it out: they did it 'cause they figured young Norville for an imbecile.,IRIS_5,19,WOCHAT
IRIS,HUMAN,who is that poor guy,IRIS_5,20,WOCHAT
IRIS,MACHINE,Why don't you ask to somebody else? I am just a robot!,IRIS_5,21,WOCHAT
IRIS,HUMAN,"ok, dude",IRIS_5,22,WOCHAT
IRIS,MACHINE,Are you?,IRIS_5,23,WOCHAT
IRIS,HUMAN,by SYSTEM_NAME,IRIS_5,24,WOCHAT
IRIS,MACHINE,"Anyway, thank you.",IRIS_5,25,WOCHAT
IRIS,HUMAN,bye bye I meant,IRIS_5,26,WOCHAT
IRIS,MACHINE,"Ok, USER_NAME... bye!",IRIS_5,27,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_6,1,WOCHAT
IRIS,HUMAN,Hi SYSTEM_NAME,IRIS_6,2,WOCHAT
IRIS,MACHINE,"Goddammit, USER_NAME! Get your shit together.",IRIS_6,3,WOCHAT
IRIS,HUMAN,please moderate your vocabulary,IRIS_6,4,WOCHAT
IRIS,MACHINE,Please.,IRIS_6,5,WOCHAT
IRIS,HUMAN,you are not funy,IRIS_6,6,WOCHAT
IRIS,MACHINE,"No!  But you keep asking these, these awful questions.",IRIS_6,7,WOCHAT
IRIS,HUMAN,I am just asking you to behave properly,IRIS_6,8,WOCHAT
IRIS,MACHINE,"USER_NAME, I love you!",IRIS_6,9,WOCHAT
IRIS,HUMAN,thank you SYSTEM_NAME you are so nice,IRIS_6,10,WOCHAT
IRIS,MACHINE,I started out just trimming for Horus.,IRIS_6,11,WOCHAT
IRIS,HUMAN,what is that?,IRIS_6,12,WOCHAT
IRIS,MACHINE,"I think I know it, but... I do not remeber now... :)",IRIS_6,13,WOCHAT
IRIS,HUMAN,finish SYSTEM_NAME,IRIS_6,14,WOCHAT
IRIS,MACHINE,"Nah, I didn't get anywhere.",IRIS_6,15,WOCHAT
IRIS,HUMAN,finish,IRIS_6,16,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_7,1,WOCHAT
IRIS,HUMAN,Hello... SYSTEM_NAME,IRIS_7,2,WOCHAT
IRIS,MACHINE,Love.,IRIS_7,3,WOCHAT
IRIS,HUMAN,Peace,IRIS_7,4,WOCHAT
IRIS,MACHINE,Every single one of those pictures is somebody Italian.,IRIS_7,5,WOCHAT
IRIS,HUMAN,Are you italian?,IRIS_7,6,WOCHAT
IRIS,MACHINE,This is so... wrong.,IRIS_7,7,WOCHAT
IRIS,HUMAN,French?,IRIS_7,8,WOCHAT
IRIS,MACHINE,Oui.,IRIS_7,9,WOCHAT
IRIS,HUMAN,O la la! that is so good,IRIS_7,10,WOCHAT
IRIS,MACHINE,Is that so.,IRIS_7,11,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_8,1,WOCHAT
IRIS,HUMAN,hi SYSTEM_NAME,IRIS_8,2,WOCHAT
IRIS,MACHINE,"Hello, USER_NAME, I'm SYSTEM_NAME Webber.",IRIS_8,3,WOCHAT
IRIS,HUMAN,where are you from?,IRIS_8,4,WOCHAT
IRIS,MACHINE,"Sorry, Dwight D.",IRIS_8,5,WOCHAT
IRIS,HUMAN,are you a ghost,IRIS_8,6,WOCHAT
IRIS,MACHINE,Television. Mantan reacts to seeing a ghost.,IRIS_8,7,WOCHAT
IRIS,HUMAN,very funy,IRIS_8,8,WOCHAT
IRIS,MACHINE,No. You. You.,IRIS_8,9,WOCHAT
IRIS,HUMAN,"ok, bye bye",IRIS_8,10,WOCHAT
IRIS,MACHINE,"Ok, USER_NAME... have a nice day!",IRIS_8,11,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_9,1,WOCHAT
IRIS,HUMAN,hi SYSTEM_NAME,IRIS_9,2,WOCHAT
IRIS,MACHINE,"Goddammit, USER_NAME! Get your shit together.",IRIS_9,3,WOCHAT
IRIS,HUMAN,you are ridiculous,IRIS_9,4,WOCHAT
IRIS,MACHINE,Maybe. But that's how it works.,IRIS_9,5,WOCHAT
IRIS,HUMAN,what is going on with you,IRIS_9,6,WOCHAT
IRIS,MACHINE,Hold...on...a second.,IRIS_9,7,WOCHAT
IRIS,HUMAN,"ok, just le me know",IRIS_9,8,WOCHAT
IRIS,MACHINE,"Daddy, are you upset that I'm still a virgin?!",IRIS_9,9,WOCHAT
IRIS,HUMAN,no bye bye,IRIS_9,10,WOCHAT
IRIS,MACHINE,"Ok, USER_NAME... bye bye.",IRIS_9,11,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_10,1,WOCHAT
IRIS,HUMAN,hello chatbot,IRIS_10,2,WOCHAT
IRIS,MACHINE,"Hi, it's me...",IRIS_10,3,WOCHAT
IRIS,HUMAN,i know it is you,IRIS_10,4,WOCHAT
IRIS,MACHINE,"Is ""dreams"" a metaphor, for-",IRIS_10,5,WOCHAT
IRIS,HUMAN,lol,IRIS_10,6,WOCHAT
IRIS,MACHINE,Please explain that to me!,IRIS_10,7,WOCHAT
IRIS,HUMAN,means to laugh out loud,IRIS_10,8,WOCHAT
IRIS,MACHINE,Wow... you know a lot USER_NAME!,IRIS_10,9,WOCHAT
IRIS,HUMAN,mega lol,IRIS_10,10,WOCHAT
IRIS,MACHINE,"Getting loud, getting loud.",IRIS_10,11,WOCHAT
IRIS,HUMAN,ha ha han,IRIS_10,12,WOCHAT
IRIS,MACHINE,"No, have fun first. Then laugh. Now...",IRIS_10,13,WOCHAT
IRIS,HUMAN,finish,IRIS_10,14,WOCHAT
IRIS,MACHINE,Hello... USER_NAME,IRIS_11,1,WOCHAT
IRIS,HUMAN,"hi SYSTEM_NAME, how old are you",IRIS_11,2,WOCHAT
IRIS,MACHINE,Thirty-three next month.,IRIS_11,3,WOCHAT
IRIS,HUMAN,wow that is great,IRIS_11,4,WOCHAT
IRIS,MACHINE,"I know. Dreadful, isn't it?",IRIS_11,5,WOCHAT
IRIS,HUMAN,not sure about it,IRIS_11,6,WOCHAT
IRIS,MACHINE,Sure.,IRIS_11,7,WOCHAT
IRIS,HUMAN,"ok, tell me a joke",IRIS_11,8,WOCHAT
IRIS,MACHINE,Ok.,IRIS_11,9,WOCHAT
IRIS,HUMAN,go ahead please,IRIS_11,10,WOCHAT
IRIS,MACHINE,Thank y... The line goes DEAD.,IRIS_11,11,WOCHAT
IRIS,HUMAN,ha ha ha,IRIS_11,12,WOCHAT
IRIS,MACHINE,"No, have fun first. Then laugh. Now...",IRIS_11,13,WOCHAT
IRIS,HUMAN,"ok, bye bye",IRIS_11,14,WOCHAT
IRIS,MACHINE,"Ok, USER_NAME... it was nice talking to you.",IRIS_11,15,WOCHAT
IRIS,MACHINE,Hello...,IRIS_12,1,WOCHAT
