source,text,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
HUMAN,[START],1,92.84,50,99,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,200
MACHINE,"Hi there, how are you!? ??",5,1,99,1,25.77,5,0,100,80,20,20,0,0,20,0,0,0,0,0,20,40,20,0,20,0,0,20,0,0,0,0,0,0,0,0,40,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,20,0,0,60,20,0,0,0,0,0
HUMAN,"Oh, thanks! I'm fine. This is an evening in my timezone",11,31.44,3.48,99,99,3.67,18.18,100,54.55,27.27,18.18,18.18,0,0,0,0,9.09,9.09,9.09,18.18,0,0,0,27.27,9.09,0,0,0,0,18.18,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,27.27,0,9.09,18.18,0,0,0,0,0,0,9.09,0,0,0,9.09,0,36.36,9.09,9.09,0,0,0,9.09,0,0,9.09,0,0
MACHINE,? here is afternoon!,3,1,50,98.01,25.77,1.5,33.33,100,66.67,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,33.33,33.33,0,0,0,0,0
HUMAN,How do you feel today? Tell me something about yourself,10,1,99,93.3,25.77,5,20,100,70,40,30,10,0,20,0,0,10,0,10,10,20,10,0,30,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,0,30,10,10,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0
MACHINE,"My name is rDany, but you can call me Dany (the r means robot)I hope we can be virtual friends!",21,5.53,92.33,37.24,95.81,21,9.52,85.71,52.38,23.81,23.81,14.29,4.76,4.76,0,0,0,4.76,0,19.05,0,4.76,0,19.05,4.76,0,0,0,0,4.76,4.76,0,0,0,0,23.81,0,4.76,0,0,14.29,4.76,0,4.76,4.76,0,4.76,0,0,0,0,0,0,0,0,0,9.52,9.52,0,0,0,0,0,28.57,4.76,0,0,0,0,0,0,0,0,0,0,4.76,0,4.76,0,0,0,19.05,0,4.76,0,0,0,4.76,0,0,0,9.52,0
HUMAN,How many virtual friends have you got?,7,1,99,1,25.77,7,28.57,100,42.86,14.29,14.29,0,0,14.29,0,0,0,0,0,14.29,14.29,14.29,0,28.57,14.29,0,14.29,0,14.29,0,0,0,0,0,0,28.57,0,14.29,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,0,14.29,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0
MACHINE,I have many! But not enough to fully understand humans beings ?,11,12.85,1,99,25.77,5.5,9.09,81.82,54.55,9.09,9.09,9.09,0,0,0,0,0,0,9.09,9.09,9.09,9.09,9.09,18.18,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,27.27,9.09,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,9.09,9.09,0,0,0,0,0
HUMAN,Is that forbidden for you to tell the exact number?,10,92.84,99,1,1,10,10,90,60,20,10,0,0,10,0,0,10,10,20,10,0,0,0,20,10,0,0,0,0,10,0,10,0,0,0,20,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0
MACHINE,"I've talked with 143 users, counting 7294 lines of text ?",10,92.84,50,3.37,25.77,10,10,40,30,10,10,10,0,0,0,0,0,0,20,10,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,10,0,0,0,10,0,0
